IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,INDEX,BLINK_COUNT,TRIAL_LABEL,block,coloridentifier,conditionidentifier,imagefile,quantidentifier,practicestatus,IP_START_TIME,PUPIL_SIZE_MAX,PUPIL_SIZE_MEAN,PUPIL_SIZE_MAX_TIME,PUPIL_SIZE_MAX_X,PUPIL_SIZE_MAX_Y,REACTION_TIME,PUPIL_SIZE_MIN,PUPIL_SIZE_MIN_TIME,PUPIL_SIZE_MIN_X,PUPIL_SIZE_MIN_Y,correctresponse,ACCURACY,KEY_PRESSED,RT,audiopred
2,Image,subj2,163,0,Trial: 163,5,yellow,T,12_blue_4_yellow.jpg,even,experimental,21126949,1109,986.05,21128130,460.2,296.2,.,917,21127072,481.3,366.7,j,1,j,1258,are_yellow.wav
2,Image,subj2,164,1,Trial: 164,5,yellow,T,7_blue_9_yellow.jpg,most_10,experimental,21141367,1191,1058.82,21144970,470.5,503.7,.,744,21146054,499.5,682.9,j,1,j,4968,are_yellow.wav
2,Image,subj2,165,0,Trial: 165,5,blue,T,12_blue_4_yellow.jpg,most_13,experimental,21159517,1323,1147.28,21165296,481.3,346.9,.,863,21159516,477.7,354.1,j,1,j,5892,are_blue.wav
2,Image,subj2,166,1,Trial: 166,5,blue,T,0_blue_16_yellow.jpg,No,experimental,21178852,983,905.88,21179508,507.2,313.4,.,653,21179736,559.4,709.8,j,1,j,971,are_blue.wav
2,Image,subj2,167,2,Trial: 167,5,yellow,T,6_blue_10_yellow.jpg,most_11,experimental,21192201,1344,1215.1,21197028,517.3,352.5,.,721,21198264,738.5,806.2,j,1,j,7575,are_yellow.wav
2,Image,subj2,168,0,Trial: 168,5,blue,T,16_blue_0_yellow.jpg,All,experimental,21290087,1231,1135.67,21290794,452.1,252.8,.,1059,21290108,501.2,373.9,j,1,j,710,are_blue.wav
2,Image,subj2,169,0,Trial: 169,5,yellow,F,5_blue_11_yellow.jpg,most_10,experimental,21303486,1377,1203.32,21308816,462.1,463.6,.,1085,21306532,701.8,356,f,1,f,6184,are_yellow.wav
2,Image,subj2,170,0,Trial: 170,5,blue,T,16_blue_0_yellow.jpg,All,experimental,21321869,1182,1106.97,21322590,448.1,286.9,.,1040,21321870,505.9,378.2,j,1,j,735,are_blue.wav
2,Image,subj2,171,0,Trial: 171,5,blue,F,6_blue_10_yellow.jpg,Most,experimental,21334966,1289,1172.4,21336118,494,432.1,.,856,21334966,508.4,372.7,f,1,f,2961,are_blue.wav
2,Image,subj2,172,0,Trial: 172,5,yellow,F,16_blue_0_yellow.jpg,Some,experimental,21350539,1240,1068.52,21351828,446.7,289.7,.,925,21350600,528,386.7,f,1,f,1290,are_yellow.wav
